序号,命令名称,CMD(hex),方向,功能类别,串口请求载荷(CMD后),串口应答载荷,数据长度(字节),编码格式,单位/范围,CAN_ID(ext=CMD<<8|MotorID),CAN数据区(8字节内),备注
1,进入待机,0x00,Host->Motor,系统控制,无,ACK{state:u8},0,-,-,0x0000|ID,无,对应CONTROL_MODE_IDLE  电机进入IDLE停止输出
2,位置保持,0x01,Host->Motor,系统控制,无,ACK{state:u8},0,-,-,0x0100|ID,无,CONTROL_MODE_HOLD  锁定当前位置
3,机械刹车,0x02,Host->Motor,系统控制,无,ACK{state:u8},0,-,-,0x0200|ID,无,CONTROL_MODE_BRAKE  短接相线抱闸
4,紧急停止,0x03,Host->Motor,系统控制,无,ACK{state:u8},0,-,-,0x0300|ID,无,CONTROL_MODE_ESTOP 最高优先级立即断输出
5,上使能,0x04,Host->Motor,系统控制,无,ACK{state:u8},0,-,-,0x0400|ID,无,CONTROL_MODE_ENABLE  IDLE->READY伺服使能不运动
6,下使能,0x05,Host->Motor,系统控制,无,ACK{state:u8},0,-,-,0x0500|ID,无,CONTROL_MODE_DISABLE  READY/RUN->IDLE伺服失能
7,停止运行,0x06,Host->Motor,系统控制,无,ACK{state:u8},0,-,-,0x0600|ID,无,CONTROL_MODE_STOP  RUN->READY停运动保持使能
8,开环电压,0x10,Host->Motor,运动控制,{ud:f32;uq:f32},ACK,8,小端float,V,0x1000|ID,ud[0:4]uq[4:8],CONTROL_MODE_OPEN_LOOP
9,电流环,0x11,Host->Motor,运动控制,{id_ref:f32;iq_ref:f32},ACK,8,小端float,A,0x1100|ID,id[0:4]iq[4:8],CONTROL_MODE_CURRENT
10,力矩环,0x12,Host->Motor,运动控制,{torque:f32},ACK,4,小端float,Nm,0x1200|ID,torque[0:4],CONTROL_MODE_TORQUE 输出端力矩
11,MIT控制,0x13,Host->Motor,运动控制,{pos:f32;vel:f32;kp:f32;kd:f32;tff:f32},反馈帧,20,小端float,rad/rad·s⁻¹/Nm,0x1300|ID,见备注定点压缩,CONTROL_MODE_MIT CAN用5字段压缩成8字节:pos16+vel12+kp12+kd12+tff12
12,速度环,0x14,Host->Motor,运动控制,{vel_ref:f32},ACK,4,小端float,rad/s,0x1400|ID,vel[0:4],CONTROL_MODE_VELOCITY
13,位置环,0x15,Host->Motor,运动控制,{pos_ref:f32},ACK,4,小端float,rad,0x1500|ID,pos[0:4],CONTROL_MODE_POSITION
14,位置+速度前馈,0x16,Host->Motor,运动控制,{pos:f32;vel_ff:f32},ACK,8,小端float,rad/rad·s⁻¹,0x1600|ID,pos[0:4]vel[4:8],CONTROL_MODE_POSITION_VELOCITY
15,位置+力矩限幅,0x17,Host->Motor,运动控制,{pos:f32;tq_lim:f32},ACK,8,小端float,rad/Nm,0x1700|ID,pos[0:4]tq[4:8],CONTROL_MODE_POSITION_TORQUE
16,速度+力矩限幅,0x18,Host->Motor,运动控制,{vel:f32;tq_lim:f32},ACK,8,小端float,rad·s⁻¹/Nm,0x1800|ID,vel[0:4]tq[4:8],CONTROL_MODE_VELOCITY_TORQUE
17,占空比控制,0x19,Host->Motor,运动控制,{duty:f32},ACK,4,小端float,-1~1,0x1900|ID,duty[0:4],CONTROL_MODE_DUTY_CYCLE
18,电压矢量,0x1A,Host->Motor,运动控制,{u_alpha:f32;u_beta:f32},ACK,8,小端float,V,0x1A00|ID,ua[0:4]ub[4:8],CONTROL_MODE_VOLTAGE_VECTOR
19,弱磁控制,0x1B,Host->Motor,运动控制,{id_weak:f32;iq_ref:f32},ACK,8,小端float,A,0x1B00|ID,id[0:4]iq[4:8],CONTROL_MODE_FIELD_WEAKENING
20,无感FOC,0x1C,Host->Motor,运动控制,{vel_ref:f32},ACK,4,小端float,rad/s,0x1C00|ID,vel[0:4],CONTROL_MODE_SENSORLESS
21,阻抗控制,0x30,Host->Motor,高级力控,{pos:f32;vel:f32;kp:f32;kd:f32;tff:f32},反馈帧,20,小端float,rad/rad·s⁻¹/Nm,0x3000|ID,CAN同MIT压缩,CONTROL_MODE_IMPEDANCE
22,导纳控制,0x31,Host->Motor,高级力控,{force:f32;mass:f32;damp:f32;stiff:f32},ACK,16,小端float,N/kg/Ns·m⁻¹/N·m⁻¹,0x3100|ID,CAN需分包,CONTROL_MODE_ADMITTANCE
23,纯力控制,0x32,Host->Motor,高级力控,{force:f32},ACK,4,小端float,N或Nm,0x3200|ID,force[0:4],CONTROL_MODE_FORCE_CONTROL
24,力位混合,0x33,Host->Motor,高级力控,{pos:f32;force:f32;sel_mask:u32},ACK,12,小端混合,rad/N/位掩码,0x3300|ID,CAN需分包,CONTROL_MODE_FORCE_POSITION_HYBRID
25,重力补偿,0x34,Host->Motor,高级力控,无,ACK,0,-,-,0x3400|ID,无,CONTROL_MODE_GRAVITY_COMPENSATION
26,碰撞检测,0x35,Host->Motor,高级力控,{threshold:f32;enable:u8},ACK,5,小端混合,Nm/bool,0x3500|ID,th[0:4]en[4],CONTROL_MODE_COLLISION_DETECTION
27,零力模式,0x36,Host->Motor,高级力控,无,ACK,0,-,-,0x3600|ID,无,CONTROL_MODE_ZERO_FORCE 拖动示教
28,恒力控制,0x37,Host->Motor,高级力控,{force:f32},ACK,4,小端float,N或Nm,0x3700|ID,force[0:4],CONTROL_MODE_CONSTANT_FORCE
29,变阻抗,0x38,Host->Motor,高级力控,{kp:f32;kd:f32;rate:f32},ACK,12,小端float,Nm·rad⁻¹/阻尼/s⁻¹,0x3800|ID,CAN需分包,CONTROL_MODE_VARIABLE_IMPEDANCE
30,自适应重力补偿,0x39,Host->Motor,高级力控,{gain:f32},ACK,4,小端float,系数,0x3900|ID,gain[0:4],CONTROL_MODE_ADAPTIVE_GRAVITY_COMP
31,落地缓冲,0x3A,Host->Motor,高级力控,{stiffness:f32;damp:f32},ACK,8,小端float,Nm·rad⁻¹/阻尼,0x3A00|ID,kp[0:4]kd[4:8],CONTROL_MODE_LANDING_BUFFER
32,PVT插补,0x50,Host->Motor,轨迹同步,{pos:f32;vel:f32;time_ms:u32},ACK,12,小端混合,rad/rad·s⁻¹/ms,0x5000|ID,CAN需分包,CONTROL_MODE_PVT 点位时间插补
33,三次样条,0x51,Host->Motor,轨迹同步,{seg_idx:u16;coef[4]:f32},ACK,18,小端混合,样条系数,0x5100|ID,CAN需分包,CONTROL_MODE_CUBIC_SPLINE
34,梯形轨迹,0x52,Host->Motor,轨迹同步,{target:f32;vmax:f32;acc:f32},ACK,12,小端float,rad/rad·s⁻¹/rad·s⁻²,0x5200|ID,CAN需分包,CONTROL_MODE_TRAPEZOIDAL_TRAJ
35,S型轨迹,0x53,Host->Motor,轨迹同步,{target:f32;vmax:f32;acc:f32;jerk:f32},ACK,16,小端float,rad/v/a/jerk,0x5300|ID,CAN需分包,CONTROL_MODE_S_CURVE_TRAJ
36,回零,0x54,Host->Motor,轨迹同步,{method:u8},ACK{homed:u8},1,u8,回零方式,0x5400|ID,method[0],CONTROL_MODE_HOMING 见homing_method参数
37,CANopen同步,0x55,Host->Motor,轨迹同步,无,ACK,0,-,-,0x5500|ID,无,CONTROL_MODE_CANOPEN_SYNC SYNC对象
38,EtherCAT CSP,0x56,Host->Motor,轨迹同步,{pos:f32},ACK,4,小端float,rad,0x5600|ID,pos[0:4],CONTROL_MODE_ETHERCAT_CSP 周期同步位置
39,EtherCAT CSV,0x57,Host->Motor,轨迹同步,{vel:f32},ACK,4,小端float,rad/s,0x5700|ID,vel[0:4],CONTROL_MODE_ETHERCAT_CSV
40,EtherCAT CST,0x58,Host->Motor,轨迹同步,{torque:f32},ACK,4,小端float,Nm,0x5800|ID,tq[0:4],CONTROL_MODE_ETHERCAT_CST
41,轮廓位置PP,0x59,Host->Motor,轨迹同步,{pos:f32;vel:f32},ACK,8,小端float,rad/rad·s⁻¹,0x5900|ID,pos[0:4]vel[4:8],CONTROL_MODE_PP
42,轮廓速度PV,0x5A,Host->Motor,轨迹同步,{vel:f32;acc:f32},ACK,8,小端float,rad·s⁻¹/rad·s⁻²,0x5A00|ID,vel[0:4]acc[4:8],CONTROL_MODE_PV
43,轮廓力矩PT,0x5B,Host->Motor,轨迹同步,{torque:f32;slope:f32},ACK,8,小端float,Nm/Nm·s⁻¹,0x5B00|ID,tq[0:4]slp[4:8],CONTROL_MODE_PT
44,电子齿轮,0x5C,Host->Motor,轨迹同步,{ratio_num:i32;ratio_den:i32},ACK,8,小端i32,齿轮比,0x5C00|ID,num[0:4]den[4:8],CONTROL_MODE_ELECTRONIC_GEAR
45,电子凸轮,0x5D,Host->Motor,轨迹同步,{cam_table_id:u16},ACK,2,小端u16,表索引,0x5D00|ID,id[0:2],CONTROL_MODE_ELECTRONIC_CAM
46,脉冲方向,0x70,Host->Motor,特殊应用,{pulse_per_rev:u32},ACK,4,小端u32,脉冲/转,0x7000|ID,ppr[0:4],CONTROL_MODE_STEP_DIR
47,模拟量输入,0x71,Host->Motor,特殊应用,{ch:u8;scale:f32},ACK,5,小端混合,通道/系数,0x7100|ID,ch[0]scale[1:5],CONTROL_MODE_ANALOG_INPUT
48,PWM输入,0x72,Host->Motor,特殊应用,{min_us:u16;max_us:u16},ACK,4,小端u16,us,0x7200|ID,min[0:2]max[2:4],CONTROL_MODE_PWM_INPUT
