param_id,参数名(代码字段),中文含义,数据类型,字节数,单位,所属分组,读写
0,motor_id,电机实例ID,u8,1,-,实例标识,RW
1,motor_name,电机名称,char[16],16,-,实例标识,RW
2,r,定子相电阻,f32,4,ohm,电机本体,RW
3,ld,d轴电感,f32,4,H,电机本体,RW
4,lq,q轴电感,f32,4,H,电机本体,RW
5,flux,永磁体磁链,f32,4,Wb,电机本体,RW
6,kt,转矩常数,f32,4,Nm/A,电机本体,RW
7,pole_pairs,极对数,u8,1,-,电机本体,RW
8,rated_current,额定电流,f32,4,A,电机本体,RW
9,peak_current,峰值电流,f32,4,A,电机本体,RW
10,max_speed,最大转速,f32,4,rad/s,电机本体,RW
11,dead_time_ns,PWM死区时间,f32,4,ns,电机本体,RW
12,rated_voltage,额定电压,f32,4,V,电机本体,RW
13,rated_speed_rpm,额定转速,f32,4,rpm,电机本体,RW
14,rated_torque,额定转矩,f32,4,Nm,电机本体,RW
15,peak_torque,峰值转矩,f32,4,Nm,电机本体,RW
16,inertia,转子转动惯量,f32,4,kg·m²,电机本体,RW
17,ke,反电动势常数,f32,4,V/(rad/s),电机本体,RW
18,pwm_freq_hz,PWM载波频率,u32,4,Hz,电机本体,RW
19,foc_freq_hz,FOC控制频率,u32,4,Hz,电机本体,RW
20,gear_ratio,减速比,f32,4,-,减速器,RW
21,gear_efficiency,减速器效率,f32,4,-,减速器,RW
22,output_torque_const,输出转矩常数,f32,4,Nm/A,减速器,RW
23,gear_backlash,回程间隙,f32,4,rad,减速器,RW
24,enc_lines,编码器分辨率,u32,4,CPR,编码器,RW
25,enc_direction,编码器计数方向,i8,1,-,编码器,RW
26,enc_offset,编码器初始偏移,f32,4,deg,编码器,RW
27,elec_angle_bias,电角度偏移,f32,4,rad,编码器,RW
28,pos_filter_alpha,位置滤波系数,f32,4,-,编码器,RW
29,enc_type,编码器类型,u8,1,-,编码器,RW
30,enc_auto_calib,编码器自动校准,u8,1,bool,编码器,RW
31,speed_obs_gain,速度观测器增益,f32,4,-,编码器,RW
32,multiturn_enable,多圈位置使能,u8,1,bool,位置限位,RW
33,pos_min_limit,软件位置负限位,f32,4,rad,位置限位,RW
34,pos_max_limit,软件位置正限位,f32,4,rad,位置限位,RW
35,limit_sw_enable,硬件限位开关使能,u8,1,bool,位置限位,RW
36,homing_method,回零方式,u8,1,-,回零,RW
37,homing_speed_fast,回零快速速度,f32,4,rad/s,回零,RW
38,homing_speed_slow,回零慢速速度,f32,4,rad/s,回零,RW
39,homing_offset,零点位置偏移,f32,4,rad,回零,RW
40,homing_current,回零电流限制,f32,4,A,回零,RW
41,current_kp_d,d轴电流比例增益,f32,4,V/A,电流环,RW
