故障码,故障来源,故障级别,故障名称,触发条件,处理方式,异常命名
0x1101,安全系统,故障级,急停按钮触发,急停按钮按下,立即停机，切断主电源,
0x1102,安全系统,故障级,硬限位触发,硬限位开关动作,立即停机，动态刹车,
0x1201,安全系统,异常级,软限位触发,位置超出软件限位范围,停止运动，允许反向运动,
0x1202,安全系统,异常级,碰撞检测触发,碰撞力 > 额定碰撞阈值,立即停机，动态刹车,
0x1301,安全系统,警告级,接近软限位,位置距离软限位 < 5°,减速至 50% 运行,
0x2101,电源系统,故障级,电源反接,电源极性错误,立即切断电源，禁止任何操作,
0x2102,电源系统,故障级,母线过压,母线电压 > 额定值 + 6V,立即停机，动态刹车,
0x2103,电源系统,故障级,母线欠压,母线电压 < 额定值 - 6V,立即停机，动态刹车,
0x2104,电源系统,故障级,母线过流,母线电流 > 2 倍额定值,立即停机，切断电源,
0x2201,电源系统,异常级,母线过压 (中度),母线电压 > 额定值 + 2V 且 < +6V,降功率至 70% 运行,
0x2202,电源系统,异常级,母线欠压 (中度),母线电压 <额定值 - 2V 且> -6V,降功率至 70% 运行,
0x2203,电源系统,异常级,长时间过流,母线电流 > 1.2 倍额定值持续 10s,降功率至 50% 运行,
0x2204,电源系统,异常级,电池低电量,电池电量 < 10%,降功率至 50% 运行,
0x2301,电源系统,警告级,电源效率下降,电源转换效率 < 90%,正常运行，记录日志,
0x2302,电源系统,警告级,电池循环次数预警,电池循环次数 > 设计值 80%,正常运行，记录日志,
0x2303,电源系统,警告级,母线电压波动,电压峰峰值波动 > 5% 额定值,正常运行，记录日志,
0x3101,驱动器,故障级,硬件短路保护,驱动芯片硬件过流触发,立即停机，切断电源,
0x3102,驱动器,故障级,峰值电流过载,瞬时相电流 > 3 倍额定值,立即停机，动态刹车,
0x3103,驱动器,故障级,累计热量过载,驱动器热积分 > 保护阈值,立即停机，动态刹车,
0x3104,驱动器,故障级,DRV 芯片初始化错误,驱动芯片自检失败,立即停机，切断电源,
0x3105,驱动器,故障级,A 相电流采样错误,A 相采样值超出量程范围,立即停机，切断电源,
0x3106,驱动器,故障级,B 相电流采样错误,B 相采样值超出量程范围,立即停机，切断电源,
0x3107,驱动器,故障级,C 相电流采样错误,C 相采样值超出量程范围,立即停机，切断电源,
0x3108,驱动器,故障级,MCU/FPGA 故障,主控硬件自检失败,立即停机，切断电源,
0x3201,驱动器,异常级,驱动器过温,MOSFET 结温 > 85℃,降功率至 50% 运行,
0x3202,驱动器,异常级,驱动器低温,MOSFET 结温 < -20℃,预热后再允许运行,
0x3203,驱动器,异常级,PWM 占空比饱和,占空比 > 95% 持续 1s,降功率至 70% 运行,
0x3204,驱动器,异常级,再生能量过载,母线电压持续升高 > 阈值,开启制动电阻泄能,
0x3301,驱动器,警告级,驱动波形畸变,电流波形 THD > 10%,正常运行，记录日志,
0x3302,驱动器,警告级,风扇故障,风扇转速为 0 且温度 > 50℃,正常运行，提高温度采样频率,
0x3303,驱动器,警告级,驱动器温度预警,MOSFET 结温 > 70℃,正常运行，提高采样频率,
0x4101,电机本体,故障级,电机过温熔断,绕组温度 > 120℃,立即停机，动态刹车,
0x4102,电机本体,故障级,相间短路,任意两相电阻 < 0.1Ω,立即停机，切断电源,
0x4103,电机本体,故障级,电机对地短路,绕组对地绝缘电阻 < 1MΩ,立即停机，切断电源,
0x4104,电机本体,故障级,电机断路,任意一相电阻 > 100Ω,立即停机，切断电源,
0x4105,电机本体,故障级,电机过载,额定扭矩持续输出 > 30s,立即停机，动态刹车,
0x4201,电机本体,异常级,三相不平衡,三相电流峰值偏差 > 20%,降功率至 50% 运行,
0x4202,电机本体,异常级,电机堵转,速度为 0 且电流 > 1.5 倍额定值,立即停机，动态刹车,
0x4203,电机本体,异常级,磁钢退磁,反电动势系数下降 > 15%,降功率至 70% 运行,
0x4204,电机本体,异常级,绕组过热,绕组温度 > 90℃,降功率至 50% 运行,
0x4301,电机本体,警告级,电机效率下降,电机运行效率 < 85%,正常运行，记录日志,
0x4302,电机本体,警告级,电机温度预警,绕组温度 > 75℃,正常运行，提高采样频率,
0x5101,编码器 / 传感器,故障级,绝对位置丢失,编码器无有效位置数据,立即停机，动态刹车,
0x5102,编码器 / 传感器,故障级,磁编码器消磁,磁场强度 < 最低工作阈值,立即停机，切断电源,
